04/01/2017 05:40:45.00 [Information] -------------------------------
04/01/2017 05:40:47.54 [Information] Prepare Installation of project "MBB_090R600 V1.42.0.0".
04/01/2017 05:40:47.54 [Information] Current project was "MBB_090R600 V1.41.0".
04/01/2017 05:40:49.10 [Warning] Element Type changed for {ExternalFileManifest Config:Copy(Config:\User\Common\SafetyConfigData.xml) - SavedExternal} -> safety
04/01/2017 05:40:49.10 [Warning] Element Type changed for {ExternalFileManifest Config:Copy(Config:\User\Common\SCtlPara.sg) - SavedExternal} -> safety
04/01/2017 05:40:49.10 [Warning] Element Type changed for {ExternalFileManifest Safety:Copy(Config:\User\Common\MotionDrivers\motiondrv.ini) - Automatic, ForcedManual} -> config
04/01/2017 05:40:49.10 [Warning] Element Type changed for {ExternalFileManifest Krl:Copy(C:\KRC\Roboter\Template\vg_appl.dat) - SavedExternal} -> file
04/01/2017 05:40:49.10 [Warning] Element Type changed for {ExternalFileManifest Krl:Copy(C:\KRC\Roboter\Template\vg_appl.src) - SavedExternal} -> file
04/01/2017 05:40:49.10 [Warning] Element Type changed for {ExternalFileManifest Krl:Copy(C:\KRC\Roboter\Template\vg_hp.dat) - SavedExternal} -> file
04/01/2017 05:40:49.10 [Warning] Element Type changed for {ExternalFileManifest Krl:Copy(C:\KRC\Roboter\Template\vg_hp.src) - SavedExternal} -> file
04/01/2017 05:40:49.10 [Warning] Element Type changed for {ExternalFileManifest Safety:Copy(Config:\User\Common\New Folder\HNFINFO.SAF) - SavedExternal} -> config
04/01/2017 05:40:49.10 [Warning] Element Type changed for {ExternalFileManifest Safety:Copy(Config:\User\Common\New Folder\SAFEDEV.SAF) - SavedExternal} -> config
04/01/2017 05:40:49.10 [Warning] Element Type changed for {ExternalFileManifest Safety:Copy(Config:\User\Common\New Folder\SCTLCRC.IMG) - SavedExternal} -> config
04/01/2017 05:40:49.10 [Warning] Element Type changed for {ExternalFileManifest Safety:Copy(Config:\User\Common\New Folder\USERPDI.SAF) - SavedExternal} -> config
04/01/2017 05:40:49.10 [Warning] Element Type changed for {ExternalFileManifest Krl:Copy(C:\KRC\temp\ChangeLog.dat) - SavedExternal} -> file
04/01/2017 05:40:49.10 [Warning] Element Type changed for {ExternalFileManifest Krl:Copy(C:\KRC\temp\ToDo.dat) - SavedExternal} -> file
04/01/2017 05:40:49.10 [Warning] Element Type changed for {ExternalFileManifest File:Copy(KRC:\R1\System\090rb_600.pt.txt) - SavedExternal} -> krl
04/01/2017 05:40:49.10 [Warning] Element Type changed for {ExternalFileManifest Safety:Copy(Config:\User\Common\SCTLCRC.XML) - Automatic} -> config
04/01/2017 05:40:49.11 [Information] SafetyHandler ignores element: '{ExternalFileManifest safety:Copy(Config:\User\Common\SafetyConfigData.xml) - SavedExternal}'
04/01/2017 05:40:49.11 [Information] SafetyHandler ignores element: '{ExternalFileManifest safety:Copy(Config:\User\Common\SCtlPara.sg) - SavedExternal}'
04/01/2017 05:40:49.11 [Information] SafetyHandler ignores element: '{ExternalFileManifest safety:Copy(Config:\User\Common\HNFINFO.SAF) - SavedExternal}'
04/01/2017 05:40:51.09 [Verbose] Ignore Action: New:file.Copy(C:\KRC\TP\USERTECH\TEMPLATE\dai_plus.kfd), 1500. MD5 check is identical!
04/01/2017 05:40:51.11 [Verbose] Ignore Action: New:file.Copy(C:\KRC\TP\USERTECH\TEMPLATE\dai_velocity.kfd), 1500. MD5 check is identical!
04/01/2017 05:40:51.11 [Verbose] Ignore Action: New:file.Copy(C:\KRC\TP\USERTECH\TEMPLATE\dai_collision.kfd), 1500. MD5 check is identical!
04/01/2017 05:40:51.14 [Verbose] Ignore Action: New:file.Copy(C:\KRC\TP\USERTECH\TEMPLATE\dai_corr_tcp.kfd), 1500. MD5 check is identical!
04/01/2017 05:40:51.14 [Verbose] Ignore Action: New:file.Copy(C:\KRC\TP\USERTECH\TEMPLATE\ICONS\prestrock_op.ico), 1500. MD5 check is identical!
04/01/2017 05:40:51.14 [Verbose] Ignore Action: New:file.Copy(C:\KRC\USER\SetupWizardStates.xml), 1500. MD5 check is identical!
04/01/2017 05:40:51.14 [Verbose] Ignore Action: New:file.Copy(C:\KRC\TP\USERTECH\TEMPLATE\ICONS\ConnectTool.ico), 1500. MD5 check is identical!
04/01/2017 05:40:51.15 [Verbose] Ignore Action: New:file.Copy(C:\KRC\TP\USERTECH\TEMPLATE\ICONS\prestrock_cl.ico), 1500. MD5 check is identical!
04/01/2017 05:40:51.15 [Verbose] Ignore Action: New:file.Copy(C:\KRC\TP\USERTECH\TEMPLATE\dai_brake.kfd), 1500. MD5 check is identical!
04/01/2017 05:40:51.15 [Verbose] Ignore Action: New:file.Copy(C:\KRC\Roboter\Template\vg_hp.dat), 1500. MD5 check is identical!
04/01/2017 05:40:51.15 [Verbose] Ignore Action: New:file.Copy(C:\KRC\Roboter\Template\vg_hp.src), 1500. MD5 check is identical!
04/01/2017 05:40:51.15 [Verbose] Ignore Action: New:file.Copy(C:\KRC\Roboter\Template\vg_appl.dat), 1500. MD5 check is identical!
04/01/2017 05:40:51.15 [Verbose] Ignore Action: New:file.Copy(C:\KRC\Roboter\Template\vg_appl.src), 1500. MD5 check is identical!
04/01/2017 05:40:51.17 [Verbose] Ignore Action: New:file.Copy(C:\KRC\DATA\DAI_MSG_LIB.kxr), 1500. MD5 check is identical!
04/01/2017 05:40:51.17 [Verbose] Ignore Action: New:file.Copy(C:\KRC\DATA\DAI_USER_MSG.kxr), 1500. MD5 check is identical!
04/01/2017 05:40:51.17 [Verbose] Ignore Action: New:file.Copy(C:\KRC\DATA\DAI_Gripper.kxr), 1500. MD5 check is identical!
04/01/2017 05:40:51.18 [Verbose] Ignore Action: New:file.Copy(C:\KRC\DATA\DAI_H_Prog.kxr), 1500. MD5 check is identical!
04/01/2017 05:40:51.18 [Verbose] Ignore Action: New:file.Copy(C:\KRC\Roboter\RDC\401195.mam), 1500. MD5 check is identical!
04/01/2017 05:40:51.18 [Verbose] Ignore Action: New:file.Copy(C:\KRC\Roboter\RDC\KLIConfig.xml), 1500. MD5 check is identical!
